OrderTime,InstrumentID,Price,Volume,ApplSeqNum,OrderBSFlag,ADFlag
09:30:02.740,600985,11.45,1000,276618,S,A
09:30:02.740,600985,11.4,1000,276620,S,A
09:30:02.740,600985,11.35,1000,276622,S,A
09:30:02.740,600985,11.5,1000,276624,S,A
09:30:02.740,600985,11.3,1000,276626,S,A
09:30:02.740,600985,11.88,3000,276634,S,A
09:30:02.740,600985,11.4,2000,276837,S,A
09:30:02.740,600985,11.45,2000,276840,S,A
09:30:02.740,600985,11.5,2000,276844,S,A
09:30:02.740,600985,11.35,2000,276847,S,A
09:30:02.740,600985,11.2,10000,277760,S,A
09:30:02.740,600985,10.95,5000,277967,B,A
09:30:02.740,600985,10.9,5000,277971,B,A
09:30:02.870,600985,12.23,100,278059,S,A
09:30:02.920,600985,10.8,100,278580,B,A
09:30:02.960,600985,11.45,500,260539,S,D
09:30:02.960,600985,11.63,500,279219,S,A
09:30:03.080,600985,11.25,900,281216,S,A
09:30:03.080,600985,11.11,1000,282025,B,A
09:30:03.080,600985,11.0,1000,282099,B,A
09:30:03.210,600985,11.11,2000,282630,B,A
09:30:03.210,600985,11.14,100,283695,S,A
09:30:03.210,600985,11.01,300,283804,B,A
09:30:03.210,600985,11.06,400,283858,B,A
09:30:03.210,600985,11.14,1000,283952,S,A
09:30:03.210,600985,11.38,3000,283969,S,A
09:30:03.350,600985,11.3,2000,284491,S,A
09:30:03.350,600985,11.14,100,284542,S,A
09:30:03.350,600985,11.14,100,283695,S,D
09:30:03.350,600985,11.14,100,284552,S,A
09:30:03.350,600985,11.25,2000,284742,S,A
09:30:03.510,600985,11.14,1000,283952,S,D
09:30:03.510,600985,11.59,1000,286794,S,A
09:30:03.510,600985,11.54,300,286902,S,A
09:30:03.510,600985,11.14,300,287073,S,A
09:30:03.510,600985,11.14,1100,287346,S,A
09:30:03.510,600985,12.18,900,287504,S,A
09:30:03.640,600985,11.06,2000,288156,B,A
09:30:03.640,600985,11.17,5000,288424,S,A
09:30:03.640,600985,11.28,600,288448,S,A
09:30:03.640,600985,11.03,1000,288659,B,A
09:30:03.640,600985,12.0,200,288677,S,A
09:30:03.640,600985,10.82,100,289105,B,A
09:30:03.780,600985,11.14,5000,289910,S,A
09:30:03.780,600985,12.0,400,290013,S,A
09:30:03.900,600985,11.14,400,291791,S,A
09:30:03.900,600985,11.35,2000,291915,S,A
09:30:04.030,600985,11.07,900,293633,B,A
09:30:04.030,600985,11.1,2000,293957,B,A
09:30:04.030,600985,11.17,700,294114,S,A
09:30:04.030,600985,12.0,200,294291,S,A
09:30:04.160,600985,12.0,2600,294726,S,A
09:30:04.290,600985,11.14,1400,296609,S,A
09:30:04.290,600985,11.35,1300,296790,S,A
09:30:04.290,600985,11.14,800,296879,S,A
09:30:04.290,600985,11.46,800,297026,S,A
09:30:04.290,600985,11.03,500,297572,B,A
09:30:04.290,600985,11.77,67700,297637,S,A
09:30:04.290,600985,11.11,300,297889,B,A
09:30:04.410,600985,11.14,100,284542,S,D
09:30:04.410,600985,11.14,500,298558,S,A
09:30:04.410,600985,11.14,500,298558,S,D
09:30:04.550,600985,11.87,500,300133,S,A
09:30:04.550,600985,11.33,500,300214,S,A
09:30:04.550,600985,11.09,1000,300813,B,A
09:30:04.550,600985,11.17,800,301267,S,A
09:30:04.670,600985,12.0,500,303302,S,A
09:30:04.670,600985,11.01,2000,303331,B,A
09:30:04.800,600985,12.24,1000,303731,S,A
09:30:04.800,600985,11.17,20000,304028,S,A
09:30:04.800,600985,12.02,1000,304824,S,A
09:30:04.800,600985,11.24,10000,305079,S,A
09:30:04.800,600985,12.24,1500,305085,S,A
09:30:04.920,600985,10.91,200,305302,B,A
09:30:04.920,600985,12.2,4700,305358,S,A
09:30:04.920,600985,11.15,2100,306083,S,A
09:30:04.920,600985,11.06,500,306096,B,A
09:30:04.920,600985,11.02,2000,306550,B,A
09:30:04.920,600985,11.1,200,306924,B,A
09:30:05.050,600985,11.65,2300,307840,S,A
09:30:05.050,600985,11.1,200,308251,B,A
09:30:05.050,600985,11.13,100,308611,B,A
09:30:05.290,600985,11.17,700,294114,S,D
09:30:05.290,600985,11.6,500,311343,S,A
09:30:05.290,600985,11.14,1600,311493,S,A
09:30:05.290,600985,11.14,1600,311494,S,A
09:30:05.290,600985,11.01,500,311938,B,A
09:30:05.410,600985,11.14,300,312323,S,A
09:30:05.410,600985,11.1,5000,313234,B,A
09:30:05.410,600985,12.0,8000,313651,S,A
09:30:05.410,600985,11.25,100,313876,S,A
09:30:05.410,600985,11.33,100,313906,S,A
09:30:05.410,600985,11.17,10000,314008,S,A
09:30:05.620,600985,11.0,100,314656,B,A
09:30:05.620,600985,11.96,3000,314758,S,A
09:30:05.620,600985,11.05,400,314854,B,A
09:30:05.620,600985,11.14,200,315288,S,A
09:30:05.620,600985,10.96,500,315414,B,A
09:30:05.730,600985,11.75,2000,316463,S,A
09:30:05.730,600985,10.75,500,316711,B,A
09:30:05.730,600985,11.84,4300,316875,S,A
09:30:05.850,600985,11.11,300,317992,B,A
09:30:05.850,600985,11.9,2100,317997,S,A
09:30:05.850,600985,11.14,100,318493,S,A
09:30:05.850,600985,11.14,200,318753,S,A
09:30:05.850,600985,11.15,19700,319099,B,A
09:30:05.850,600985,12.08,20000,319148,S,A
09:30:06.030,600985,11.13,3600,319408,B,A
09:30:06.030,600985,11.21,2800,319881,S,A
09:30:06.070,600985,11.08,2500,320168,B,A
09:30:06.070,600985,11.15,1000,320747,B,A
09:30:06.070,600985,12.24,1700,136758,S,D
09:30:06.070,600985,11.15,2500,321548,B,A
09:30:06.190,600985,11.29,1100,322034,S,A
09:30:06.190,600985,11.8,100,322457,S,A
09:30:06.190,600985,11.14,500,322666,B,A
09:30:06.260,600985,12.24,10000,322867,S,A
09:30:06.260,600985,11.03,10000,324218,B,A
09:30:06.260,600985,11.97,1000,324297,S,A
09:30:06.260,600985,11.14,2000,324489,B,A
09:30:06.390,600985,11.37,1000,324545,S,A
09:30:06.390,600985,11.27,100,324695,S,A
09:30:06.390,600985,10.96,400,325357,B,A
09:30:06.390,600985,10.95,500,325902,B,A
09:30:06.390,600985,12.0,100,326008,S,A
09:30:06.390,600985,11.14,600,326218,B,A
09:30:06.390,600985,12.0,700,326223,S,A
09:30:06.500,600985,10.98,1000,326305,B,A
09:30:06.500,600985,11.05,1000,326684,B,A
09:30:06.500,600985,10.98,2500,327034,B,A
09:30:06.500,600985,11.1,1000,327635,B,A
09:30:06.500,600985,11.0,500,327788,B,A
09:30:06.500,600985,11.84,7600,327904,S,A
09:30:06.500,600985,11.12,1000,269833,B,D
09:30:06.500,600985,11.06,3000,327994,B,A
09:30:06.640,600985,11.17,2000,329251,S,A
09:30:06.640,600985,11.18,2000,329252,S,A
09:30:06.640,600985,11.77,5000,329662,S,A
09:30:06.760,600985,11.0,2500,330565,B,A
09:30:06.760,600985,11.19,2000,330618,S,A
09:30:06.760,600985,11.1,1000,330915,B,A
09:30:06.760,600985,11.88,1000,331325,S,A
09:30:06.880,600985,11.2,2000,331721,S,A
09:30:06.880,600985,11.21,2000,331722,S,A
09:30:06.880,600985,11.15,900,331768,B,A
09:30:06.880,600985,11.92,2000,332085,S,A
09:30:06.880,600985,11.37,4500,332638,S,A
09:30:06.880,600985,11.17,1500,333095,S,A
09:30:06.880,600985,11.26,500,333189,S,A
09:30:07.000,600985,11.14,100,334395,B,A
09:30:07.000,600985,11.21,20000,334447,S,A
09:30:07.000,600985,11.08,2000,334506,B,A
09:30:07.140,600985,11.14,200,335315,B,A
09:30:07.140,600985,11.14,100,335520,B,A
09:30:07.140,600985,11.08,1600,335745,B,A
09:30:07.140,600985,11.52,1000,335775,S,A
09:30:07.140,600985,11.38,600,336007,S,A
09:30:07.140,600985,11.18,100,336079,S,A
09:30:07.140,600985,11.3,1000,336281,S,A
09:30:07.140,600985,11.17,3000,336287,S,A
09:30:07.140,600985,11.12,300,336330,B,A
09:30:07.140,600985,11.17,1900,336826,S,A
09:30:07.270,600985,11.14,2000,337016,B,A
09:30:07.270,600985,11.65,2500,337051,S,A
09:30:07.270,600985,11.09,1000,337266,B,A
09:30:07.270,600985,10.96,7300,337342,B,A
09:30:07.270,600985,11.02,500,337848,B,A
09:30:07.270,600985,11.14,1500,338346,B,A
09:30:07.390,600985,11.01,500,339058,B,A
09:30:07.390,600985,11.15,2200,339805,B,A
09:30:07.390,600985,11.08,5500,339936,B,A
09:30:07.510,600985,10.85,1400,341766,B,A
09:30:07.650,600985,11.14,600,342859,B,A
09:30:07.770,600985,11.48,200,344155,S,A
09:30:07.770,600985,11.01,3000,345371,B,A
09:30:07.920,600985,11.36,3300,345713,S,A
09:30:07.920,600985,10.95,1000,345906,B,A
09:30:07.920,600985,11.38,1000,346999,S,A
09:30:08.040,600985,11.12,1000,347812,B,A
09:30:08.040,600985,11.02,1500,348306,B,A
09:30:08.040,600985,11.35,1000,348542,S,A
09:30:08.040,600985,11.88,10000,348705,S,A
09:30:08.040,600985,11.45,1000,348870,S,A
09:30:08.170,600985,11.14,2000,349035,B,A
09:30:08.270,600985,10.55,3500,350970,B,A
09:30:08.270,600985,11.0,100,351146,B,A
09:30:08.270,600985,11.1,1000,351282,B,A
09:30:08.410,600985,11.06,500,352415,B,A
09:30:08.410,600985,11.16,100,352822,B,A
09:30:08.410,600985,11.0,1500,352868,B,A
09:30:08.530,600985,11.21,4600,353287,S,A
09:30:08.530,600985,11.68,3400,353516,S,A
09:30:08.530,600985,10.5,1000,353520,B,A
09:30:08.530,600985,11.1,500,353920,B,A
09:30:08.530,600985,11.02,3000,353957,B,A
09:30:08.530,600985,11.01,1000,354005,B,A
09:30:08.620,600985,11.15,900,331768,B,D
09:30:08.620,600985,11.01,1000,355228,B,A
09:30:08.620,600985,11.15,100,355265,S,A
09:30:08.620,600985,11.15,500,355287,S,A
09:30:08.620,600985,11.15,900,355288,S,A
09:30:08.620,600985,11.17,1700,355318,S,A
09:30:08.620,600985,11.08,1000,355415,B,A
09:30:08.620,600985,11.88,3000,355526,S,A
09:30:08.820,600985,11.16,300,355870,S,A
09:30:08.820,600985,11.4,1500,355973,S,A
09:30:08.820,600985,11.16,100,356119,S,A
09:30:08.820,600985,11.15,700,356122,S,A
09:30:08.820,600985,11.15,500,356123,S,A
09:30:08.820,600985,11.15,300,356605,S,A
09:30:08.820,600985,11.15,500,356606,S,A
09:30:08.820,600985,11.28,500,357372,S,A
09:30:09.030,600985,11.17,400,357889,S,A
09:30:09.030,600985,11.07,8500,358447,B,A
09:30:09.030,600985,10.95,1000,358658,B,A
09:30:09.030,600985,10.6,3000,358921,B,A
09:30:09.030,600985,11.65,1000,358949,S,A
09:30:09.170,600985,11.03,200,360371,B,A
09:30:09.170,600985,11.27,500,270127,S,D
09:30:09.290,600985,10.88,1500,361440,B,A
09:30:09.290,600985,11.12,200,361605,B,A
09:30:09.290,600985,11.09,800,361932,B,A
09:30:09.290,600985,10.99,2000,362085,B,A
09:30:09.290,600985,11.11,1000,362344,B,A
09:30:09.290,600985,11.15,900,362398,S,A
09:30:09.430,600985,11.15,3000,362789,S,A
09:30:09.430,600985,11.4,2000,362966,S,A
09:30:09.550,600985,11.14,500,364537,B,A
09:30:09.550,600985,11.15,2200,364704,S,A
09:30:09.550,600985,11.15,1000,364743,S,A
09:30:09.550,600985,11.15,900,364744,S,A
09:30:09.550,600985,11.14,2000,365371,B,A
09:30:09.680,600985,11.15,100,366204,S,A
09:30:09.680,600985,11.15,100,366205,S,A
09:30:09.680,600985,11.35,400,366592,S,A
09:30:09.680,600985,11.15,1200,367250,S,A
09:30:09.680,600985,11.15,300,367251,S,A
09:30:09.680,600985,11.15,100,367252,S,A
09:30:09.680,600985,11.15,200,367288,S,A
09:30:09.680,600985,11.11,1000,367483,B,A
09:30:09.800,600985,11.15,1500,367813,S,A
09:30:09.800,600985,11.15,1200,367816,S,A
09:30:09.800,600985,11.15,400,367899,S,A
09:30:09.800,600985,11.15,200,368174,S,A
09:30:09.800,600985,11.15,200,368175,S,A
09:30:09.800,600985,11.15,700,368176,S,A
09:30:09.800,600985,11.01,3600,369078,B,A
09:30:09.920,600985,11.68,5000,369483,S,A
09:30:09.920,600985,11.14,3300,369734,B,A
09:30:09.920,600985,11.02,1000,370862,B,A
09:30:09.920,600985,11.15,1600,371091,S,A
09:30:10.170,600985,11.89,5000,374366,S,A
09:30:10.170,600985,11.23,600,374425,S,A
